empresa;ativo;nome;código;endereço;cidade;UF
AWS;Sim;GRU1;GRU1;Avenida Ceci 1600, Andar 1, Cond Walter Torre Barueri, SP 06460-120;Barueri;SP
AWS;Sim;GRU2;GRU2;Rua Guido Camargo Penteado Sobrinho 3685 Campinas, SP 13082-800;Campinas;SP
AWS;Sim;GRU3;GRU3;Rua Bento Branco De Andrade Filho 621, Sl. B, São Paulo, SP 04757-000;São Paulo;SP
AWS;Sim;GRU4;GRU4;Rua Presbitero Plinio Alves De Souza 757 Jundiaí, SP 13212-181;Jundiaí;SP
AWS;Sim;GRU50;GRU50;Avenida Ceci, 1850, Condominiowalter Torre Barueri, SP 06460-120;Barueri;SP
AWS;Sim;GRU51;GRU51;Avenida Ceci 1700 Tambore Barueri, SP 06460-120;Barueri;SP
AWS;Sim;GRU53;GRU53;Avenida Ceci 1600 Andar 4 Barueri, SP 06460-120;Barueri;SP
AWS;Sim;GRU54;GRU54;Avenida Ceci, 1646 Bloco 2 Barueri, SP 06460-120;Barueri;SP
AWS;Sim;GRU60;GRU60;Avenida Beirute (Lot M Ii P I Logístico) 863 Jundiaí, SP 13212-215;Jundiaí;SP
AWS;Sim;GRU62;GRU62;Rua Sebastião Cardoso (Loteamento Jardim Okinawa S/n Paulinia, SP 13141-005;Paulínia;SP
AWS;Sim;GRU63;GRU63;Avenida Constante Pavan, 4507, Poço Fundo, Paulinia, SP 13148-198;Paulínia;SP
AWS;Sim;GRU65;GRU65;Avenida Presbitero Joao Franco De Oliveira S/n Lote 4-5e6 Jundiaí, SP 13213-340;Jundiaí;SP
